ticket_id,created_date,agent_id,channel,issue_type,priority,resolution_hours,first_response_minutes,csat_score,qa_score,status,reopened,escalated
T00001,2025-01-09,A001,Call,Delivery Delay,High,20.4,1,2,86.1,Closed,No,No
T00002,2025-12-08,A003,Call,Refund,High,2.8,36,4,91.2,Closed,No,No
T00003,2025-03-18,A009,Chat,Delivery Delay,Low,54.6,35,5,78.2,Closed,No,No
T00004,2025-08-30,A001,Chat,Refund,Medium,19.6,34,4,92.2,Closed,No,No
T00005,2025-01-05,A016,Chat,Order Cancellation,Low,58.0,23,3,80.0,Closed,No,No
T00006,2025-07-25,A011,Email,Refund,Low,5.5,47,3,78.5,Closed,No,No
T00007,2025-05-24,A013,Chat,Account Issue,Critical,3.5,1,5,72.8,Closed,No,No
T00008,2025-12-28,A007,Chat,Account Issue,Medium,22.1,51,2,83.1,Closed,No,No
T00009,2025-10-15,A021,Email,Delivery Delay,Medium,8.1,27,3,98.6,Closed,Yes,No
T00010,2025-12-14,A020,Chat,Delivery Delay,Medium,0.5,6,2,72.0,Closed,Yes,No
T00011,2025-01-25,A005,Call,Order Cancellation,Medium,26.7,20,5,88.4,Closed,No,No
T00012,2025-05-14,A024,Email,Account Issue,High,3.4,46,5,81.6,Closed,No,No
T00013,2025-02-06,A013,Chat,Order Cancellation,Low,12.6,41,4,86.9,Closed,No,No
T00014,2025-10-13,A021,Email,Refund,High,5.1,15,5,88.1,Closed,No,No
T00015,2025-09-15,A015,Email,Payment Failure,Medium,21.3,26,3,82.5,Closed,No,No
T00016,2025-09-10,A010,Chat,Product Quality,Low,51.6,57,5,82.8,Closed,No,No
T00017,2025-08-10,A013,Call,Product Quality,Medium,7.4,20,5,96.3,Closed,No,No
T00018,2025-07-18,A022,Chat,Delivery Delay,High,3.0,1,1,91.7,Closed,No,No
T00019,2025-10-23,A005,Call,Delivery Delay,Low,11.4,80,5,80.0,Closed,No,No
T00020,2025-09-10,A011,Email,Order Cancellation,Medium,7.5,14,5,100,Closed,No,No
T00021,2025-01-13,A014,Call,Delivery Delay,Medium,32.0,53,4,87.5,Closed,No,No
T00022,2025-01-16,A008,Chat,Order Cancellation,Low,73.6,25,4,93.0,Closed,No,No
T00023,2025-01-17,A024,Chat,Account Issue,Medium,26.9,1,4,85.0,Closed,No,No
T00024,2025-02-14,A024,Email,Order Cancellation,Medium,13.0,25,5,92.5,Closed,No,No
T00025,2025-07-30,A016,Email,Order Cancellation,Medium,25.1,44,5,82.3,Closed,No,No
T00026,2025-06-11,A001,Email,Delivery Delay,Low,27.3,40,5,83.7,Closed,No,No
T00027,2025-04-16,A021,Email,Product Quality,Medium,14.5,21,3,75.8,Open,No,No
